player,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Delon Wright,G,10.04,3.59,3.89,1.59,0.41,1.3,2.7615384615384615,2.0,18.22,29.0,2021
Delon Wright,G,10.24,4.41,4.27,1.6,0.48,1.32,3.340909090909091,2.08,19.68,29.0,2021
Delon Wright,G,4.44,2.44,2.86,1.21,0.25,0.58,4.206896551724138,1.46,10.62,30.0,2022
Delon Wright,G,7.38,3.88,3.6,1.84,0.34,0.88,4.409090909090909,2.18,16.16,31.0,2023
Delon Wright,G,4.06,2.48,1.79,1.06,0.24,0.33,7.515151515151515,1.3,9.3,32.0,2024
Delon Wright,G,5.43,2.64,1.93,1.36,0.21,0.21,12.571428571428573,1.57,11.36,32.0,2024
Delon Wright,G,4.47,2.53,1.83,1.15,0.23,0.3,8.433333333333334,1.38,9.91,32.0,2024
Guerschon Yabusele,F,2.39,0.48,1.58,0.12,0.15,0.36,1.3333333333333333,0.27,4.36,22.0,2018
Guerschon Yabusele,F,2.29,0.37,1.29,0.2,0.17,0.37,1.0,0.37,3.95,23.0,2019
Trae Young,G,19.12,8.06,3.72,0.89,0.19,3.8,2.1210526315789475,1.08,28.18,20.0,2019
Trae Young,G,29.63,9.33,4.25,1.08,0.13,4.82,1.9356846473029046,1.21,39.6,21.0,2020
Trae Young,G,25.3,9.43,3.89,0.84,0.19,4.14,2.2777777777777777,1.03,35.51,22.0,2021
Trae Young,G,28.36,9.7,3.74,0.95,0.09,3.99,2.4310776942355887,1.04,38.85,23.0,2022
Trae Young,G,26.22,10.15,2.97,1.1,0.12,4.11,2.4695863746958637,1.22,36.45,24.0,2023
Trae Young,G,25.72,10.8,2.76,1.33,0.2,4.35,2.4827586206896557,1.53,36.46,25.0,2024
Ivica Zubac,C,7.47,0.79,4.18,0.37,0.87,0.79,1.0,1.24,12.89,20.0,2017
Ivica Zubac,C,3.74,0.58,2.86,0.19,0.35,0.6,0.9666666666666667,0.54,7.12,21.0,2018
Ivica Zubac,C,8.52,0.76,4.91,0.12,0.82,1.0,0.76,0.94,14.13,22.0,2019
Ivica Zubac,C,9.38,1.46,7.69,0.38,0.92,1.42,1.028169014084507,1.3,18.41,22.0,2019
Ivica Zubac,C,8.9,1.07,6.14,0.24,0.86,1.19,0.8991596638655464,1.1,16.02,22.0,2019
Ivica Zubac,C,8.28,1.14,7.54,0.22,0.92,0.85,1.3411764705882352,1.14,17.25,23.0,2020
Ivica Zubac,C,9.03,1.25,7.21,0.33,0.86,1.12,1.1160714285714284,1.19,17.56,24.0,2021
Ivica Zubac,C,10.33,1.58,8.47,0.47,1.01,1.5,1.0533333333333335,1.48,20.36,25.0,2022
Ivica Zubac,C,10.76,1.01,9.95,0.38,1.29,1.54,0.6558441558441558,1.67,21.85,26.0,2023
Ivica Zubac,C,11.68,1.37,9.21,0.32,1.22,1.16,1.1810344827586208,1.54,22.64,27.0,2024
Vlatko Čančar,F,1.21,0.21,0.71,0.07,0.07,0.21,1.0,0.14,2.06,23.0,2020
Vlatko Čančar,F,2.07,0.34,1.22,0.27,0.05,0.34,1.0,0.32,3.61,24.0,2021
Vlatko Čančar,F,4.13,1.13,2.07,0.13,0.2,0.6,1.8833333333333333,0.33,7.06,25.0,2022
Vlatko Čančar,F,4.95,1.33,2.13,0.37,0.23,0.62,2.145161290322581,0.6,8.39,26.0,2023
Dario Šarić,F,12.84,2.25,6.33,0.7,0.37,2.26,0.9955752212389382,1.07,20.23,23.0,2017
Dario Šarić,F,14.63,2.59,6.67,0.65,0.26,1.9,1.3631578947368421,0.91,22.9,24.0,2018
Dario Šarić,F,11.08,2.0,6.62,0.31,0.23,1.92,1.0416666666666667,0.54,18.32,25.0,2019
Dario Šarić,F,10.5,1.49,5.46,0.6,0.09,1.06,1.4056603773584906,0.69,17.08,25.0,2019
Dario Šarić,F,10.59,1.57,5.64,0.56,0.11,1.2,1.3083333333333333,0.67,17.27,25.0,2019
Dario Šarić,F,10.67,1.86,6.15,0.56,0.24,1.33,1.3984962406015038,0.8,18.15,26.0,2020
Dario Šarić,F,8.74,1.3,3.8,0.6,0.08,1.14,1.1403508771929827,0.68,13.38,27.0,2021
Dario Šarić,F,5.81,1.54,3.84,0.35,0.14,0.97,1.5876288659793816,0.49,10.71,29.0,2023
Dario Šarić,F,7.35,0.85,3.25,0.35,0.1,0.95,0.8947368421052632,0.45,10.95,29.0,2023
Dario Šarić,F,6.35,1.3,3.63,0.35,0.12,0.96,1.3541666666666667,0.47,10.79,29.0,2023
Dario Šarić,F,8.05,2.25,4.42,0.48,0.16,1.22,1.8442622950819672,0.64,14.14,30.0,2024
